Model,Accuracy,Precision,Recall,F1-Score,ROC AUC,CV Mean,CV Std
Logistic Regression,0.900990099009901,0.8685868586858685,0.900990099009901,0.8700712176480806,0.7934065934065935,0.9009567901234569,0.013786453527603482
Decision Tree,0.8910891089108911,0.8763279063468656,0.8910891089108911,0.8823623856821295,0.6241758241758242,0.851574074074074,0.04032149606931133
Random Forest,0.8910891089108911,0.810891089108911,0.8910891089108911,0.8491006168679696,0.7346153846153847,0.8960493827160494,0.016680835312646466
SVM,0.900990099009901,0.8117831585138712,0.900990099009901,0.8540635313531352,0.6153846153846154,0.9059567901234568,0.005793597104865318
K-Nearest Neighbors,0.8613861386138614,0.8321347924266111,0.8613861386138614,0.8455498775684019,0.6747252747252747,0.8861728395061729,0.025039520659925377
Naive Bayes,0.8514851485148515,0.8579157915791581,0.8514851485148515,0.8546109543866779,0.7478021978021978,0.851574074074074,0.04032149606931133
